order_item_id,product_id,order_id,ordered_quantity,order_quantity_accepted,rate,Potential sale,Actual Sale,Difference
62609,7818,119874,1,0,4993,4993,0,4993
62610,7607,119877,1,0,6203.4,6203.4,0,6203.4
62611,9916,119880,2,2,2904.41,5808.82,5808.82,0
62612,11118,119880,2,2,2205,4410,4410,0
62613,12702,119880,2,2,2200.85,4401.7,4401.7,0
62614,11110,119883,2,0,2723,5446,0,5446
62615,3234,119886,1,0,10700,10700,0,10700
62616,8221,119889,1,0,2726.15,2726.15,0,2726.15
62617,8425,119892,2,2,3581,7162,7162,0
62618,1548,119895,1,0,10509,10509,0,10509
62619,1548,119895,2,0,10763,21526,0,21526
62620,1548,119895,2,0,5551,11102,0,11102
62621,1548,119898,1,0,10509,10509,0,10509
62622,1548,119898,2,0,10763,21526,0,21526
62623,1548,119898,2,0,5551,11102,0,11102
62624,1548,119901,1,0,10509,10509,0,10509
62625,1548,119901,2,0,10763,21526,0,21526
62626,1548,119901,2,0,5551,11102,0,11102
62627,8424,119904,1,0,8127,8127,0,8127
62628,8424,119904,1,0,7791,7791,0,7791
62629,8424,119904,1,0,7239,7239,0,7239
62630,8457,119904,2,0,15834,31668,0,31668
62631,8457,119904,1,0,8213,8213,0,8213
62632,8457,119904,1,0,15538,15538,0,15538
62633,9924,119907,1,1,5021,5021,5021,0
62634,9924,119907,1,1,4833,4833,4833,0
62635,11267,119907,2,0,2656.07,5312.14,0,5312.14
62636,1041,119910,1,0,5129,5129,0,5129
62637,1041,119910,1,0,4927,4927,0,4927
62638,9897,119913,1,0,2062,2062,0,2062
62639,2862,119916,1,0,4200,4200,0,4200
62640,11143,119919,1,1,2718,2718,2718,0
62641,7781,119919,1,1,3657,3657,3657,0
62642,11958,119922,1,0,3737,3737,0,3737
62643,11958,119922,1,0,2028.81,2028.81,0,2028.81
62644,8649,119925,1,0,3593.22,3593.22,0,3593.22
62645,11143,119928,2,0,2810,5620,0,5620
62646,1805,119931,1,0,18732.9,18732.9,0,18732.9
62647,11117,119934,1,0,3528,3528,0,3528
62648,1041,119937,1,0,5429,5429,0,5429
62649,11117,119940,1,0,3528,3528,0,3528
62650,11143,119943,1,1,2810,2810,2810,0
62651,11143,119943,1,1,2688,2688,2688,0
62652,3615,119946,1,0,4252,4252,0,4252
62653,11189,119946,2,0,5178,10356,0,10356
62654,12784,119949,1,0,3100,3100,0,3100
62655,9916,119952,2,2,2904.41,5808.82,5808.82,0
62656,11107,119952,2,2,3112.09,6224.18,6224.18,0
62657,3615,119955,1,1,4252,4252,4252,0
62658,11189,119955,2,1,5178,10356,5178,5178
62659,8649,119958,1,0,3593.22,3593.22,0,3593.22
62660,9916,119958,1,0,2269.07,2269.07,0,2269.07
62661,10520,119958,1,0,4057.63,4057.63,0,4057.63
62662,11958,119958,1,0,2028.81,2028.81,0,2028.81
62663,3615,119961,1,0,4252,4252,0,4252
62664,11189,119961,2,0,5178,10356,0,10356
62665,3615,119964,1,0,4252,4252,0,4252
62666,11189,119964,2,0,5178,10356,0,10356
62667,9925,119967,1,0,3096.61,3096.61,0,3096.61
62668,11731,119970,1,0,4402,4402,0,4402
62669,7243,119973,5,0,3179.91,15899.55,0,15899.55
62670,7835,119976,3,3,4148,12444,12444,0
62671,8428,119979,10,0,798,7980,0,7980
62672,1040,119982,1,0,3921,3921,0,3921
62673,1040,119982,2,0,4280,8560,0,8560
62674,1040,119982,2,0,4071,8142,0,8142
62675,7867,119985,7,7,2056,14392,14392,0
62676,7867,119985,2,2,2215,4430,4430,0
62677,7867,119985,1,1,2374,2374,2374,0
62678,8219,119988,13,13,13288.2,172746.6,172746.6,0
62679,8219,119988,5,5,13488.3,67441.5,67441.5,0
62680,8219,119988,2,2,13597,27194,27194,0
62681,11169,119991,1,0,5019,5019,0,5019
62682,3610,119994,2,2,12364,24728,24728,0
62683,12652,119997,2,2,7203.4,14406.8,14406.8,0
62684,9925,120000,1,1,3096.61,3096.61,3096.61,0
62685,9919,120003,2,0,4078.98,8157.96,0,8157.96
62686,1041,120003,1,0,5738,5738,0,5738
62687,7526,120006,1,0,5438.14,5438.14,0,5438.14
62688,7526,120009,1,0,5672.67,5672.67,0,5672.67
62689,10204,120012,3,0,3479,10437,0,10437
62690,8444,120015,1,0,3166.8,3166.8,0,3166.8
62691,8219,120018,1,1,13288.2,13288.2,13288.2,0
